Date,Description,Debit,Credit
2026-08-01,SWIGGY ORDER 12345,450,
2026-08-02,SALARY CREDIT,,45000
2026-08-03,UBER INDIA TRIP 8921,280,
2026-08-04,NETFLIX.COM MONTHLY SUBSCRIPTION,649,
2026-08-05,DMART GROCERIES WEEKLY SHOPPING,1200,
2026-08-06,AMAZON PURCHASE ORDER #45678,2500,
2026-08-07,STARBUCKS COFFEE,350,
2026-08-08,PHONEPE TRANSFER TO FRIEND,5000,
2026-08-09,ELECTRICITY BILL PAYMENT,1850,
2026-08-10,GAS CYLINDER REFILL,850,
2026-08-11,ZOMATO FOOD DELIVERY,420,
2026-08-12,FREELANCE INCOME PROJECT A,,15000
2026-08-13,PHARMACY MEDICAL STORE,1200,
2026-08-14,OLA CAB RIDE TO AIRPORT,1200,
2026-08-15,INTERNET BROADBAND BILL,799,
2026-08-16,GROCERY STORE MONTHLY STOCK,3500,
2026-08-17,MOVIE TICKET BOOKING,600,
2026-08-18,RESTAURANT DINNER FAMILY,2800,
2026-08-19,MOBILE RECHARGE,299,
2026-08-20,ATM WITHDRAWAL,5000,
2026-08-21,INSURANCE PREMIUM PAYMENT,12000,
2026-08-22,ONLINE SHOPPING CLOTHING,1800,
2026-08-23,PETROL FUEL STATION,2000,
2026-08-24,GYM MEMBERSHIP FEE,2500,
2026-08-25,BOOK PURCHASE ONLINE,450,
2026-08-26,LAUNDRY SERVICE,350,
2026-08-27,COFFEE SHOP CAFE,180,
2026-08-28,TRANSPORTATION AUTO RICKSHAW,150,
2026-08-29,UTILITY WATER BILL,450,
2026-08-30,MONTHLY SUBSCRIPTION BOX,999
